Hand,2,3,4,5,6,7,8,9,10,A
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,Rs
16,S,S,S,S,S,H,H,H,Rh,Rh
15,S,S,S,S,S,H,H,H,Rh,Rh
14,S,S,S,S,S,H,H,H,Rh,Rh
13,S,S,S,S,S,H,H,H,H,Rh
12,H,H,S,S,S,H,H,H,H,Rh
11,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
10,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
9,Dh,Dh,Dh,Dh,Dh,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,Rh
7,H,H,H,H,H,H,H,H,H,Rh
6,H,H,H,H,H,H,H,H,H,Rh
5,H,H,H,H,H,H,H,H,H,Rh
4,H,H,H,H,H,H,H,H,H,Rh
