Hand,2,3,4,5,6,7,8,9,10,A
10,S,S,S,S,S,S,S,S,S,S
9,P,P,P,P,P,S,P,P,S,S
8,P,P,P,P,P,P,P,P,Rh,Rh
7,P,P,P,P,P,P,P,H,Rh,Rh
6,P,P,P,P,P,P,H,H,H,Rh
5,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
4,H,H,H,P,P,H,H,H,H,H
3,P,P,P,P,P,P,H,H,H,Rh
2,P,P,P,P,P,P,H,H,H,Rh
A,P,P,P,P,P,P,P,P,P,H
