Hand,2,3,4,5,6,7,8,9,10,A
21,1,1,1,1,1,1,1,1,1,1
20,6,6,6,6,6,6,6,6,6,4
19,11,13,13,13,14,14,14,14,13,11
18,20,20,24,25,25,28,28,25,20,20
17,32,32,32,41,43,52,662,297,165,418
16,153,101,70,53,102,328,377,1249,5346,162
15,233,146,97,75,97,265,313,913,2892,122
14,780,354,207,149,199,241,195,319,661,115
13,20116,2507,838,446,721,589,221,170,252,201
12,3234,9529,105730,3715,19738,3907,542,166,190,342
11,157,129,105,85,84,338,837,2032,4498,6613
10,256,190,147,111,104,394,1080,5435,25428,5960
9,22042,3851,1118,520,475,35296,1135,216,1075,179
8,1053,1147,4708,283060,69319,233,1402,426,286,452
7,696,1663,22907,11948,3771,1517,93,70,85,38
6,253,322,606,1911,1443,65,54,79,102,36
5,193,228,424,1232,897,48,40,58,73,28
4,160,202,354,1168,860,48,38,48,57,24
