Hand,2,3,4,5,6,7,8,9,10,A
21,S,S,S,S,S,S,S,S,S,S
20,S,S,DH,DH,DH,S,S,S,S,S
19,S,S,S,S,DH,S,S,S,S,S
18,S,S,DH,DH,DH,S,S,S,S,S
17,S,S,DH,DH,S,S,S,S,S,S
16,S,DH,S,S,S,H,H,H,S,H
15,S,S,DH,DH,DH,H,H,H,H,H
14,S,DH,S,DH,DH,H,H,H,H,H
13,S,S,S,DH,S,H,H,H,H,H
