Hand,2,3,4,5,6,7,8,9,10,A
10,S,S,S,S,S,S,S,S,S,S
9,S,S,S,S,S,S,S,S,S,S
8,S,S,S,S,S,S,S,S,S,S
7,S,S,S,S,S,S,S,S,S,S
6,S,S,S,S,S,S,S,S,S,S
5,DH,DH,DH,DH,DH,DH,DH,DH,DH,DH
4,S,S,S,S,DH,S,S,S,S,S
3,S,S,S,S,S,S,S,S,S,S
2,S,S,S,S,S,S,S,S,S,S
A,P,P,P,P,P,P,P,P,P,P
