Hand,2,3,4,5,6,7,8,9,10,A
21,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
20,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
19,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
18,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
17,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
16,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
15,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
14,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
13,189825,100000,100000,100000,100000,100000,100000,100000,100000,100000
12,100000,140453,100000,100000,100000,100000,100000,100000,100000,100000
11,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
10,100000,100000,100000,100000,100000,100000,100000,100000,179012,100000
9,108303,100000,100000,100000,100000,930920,100000,100000,100000,100000
8,100000,100000,196327,100000,100000,100000,100000,100000,100000,100000
7,100000,100000,161704,100000,100000,100000,100000,100000,100000,100000
6,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
5,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
4,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
