Hand,2,3,4,5,6,7,8,9,10,A
21,H,H,H,H,H,H,H,H,H,H
20,H,H,H,H,H,H,H,H,H,H
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,S,S,S,S,S
15,S,S,S,S,S,S,S,S,S,S
14,S,S,S,S,S,S,S,S,S,S
13,S,S,S,S,S,S,S,S,S,S
12,S,S,S,S,S,S,S,S,S,S
11,DH,DH,DH,DH,DH,DH,DH,DH,DH,DH
10,DH,DH,DH,DH,DH,DH,DH,DH,DH,DH
9,DH,DH,DH,DH,DH,DH,DH,S,S,S
8,S,S,S,DH,DH,S,S,S,S,S
7,S,S,S,S,S,S,S,S,S,S
6,S,S,S,S,S,S,S,S,S,S
5,S,S,S,S,S,S,S,S,S,S
4,H,H,H,H,H,H,H,H,H,H
