Hand,2,3,4,5,6,7,8,9,10,A
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,H,H,S,H,H
15,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
13,S,S,H,S,S,H,H,H,H,H
12,H,H,S,S,S,H,H,H,H,H
11,DH,DH,DH,DH,DH,DH,DH,DH,DH,DH
10,DH,DH,DH,DH,DH,H,DH,DH,DH,H
9,H,DH,DH,DH,DH,H,H,H,H,H
8,H,H,H,DH,DH,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,DS
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,S,H
