Hand,2,3,4,5,6,7,8,9,10,A
10,82,112,183,322,299,73,31,18,19,19
9,28425,1267,660,303,536,1411,403,770,354,1161
8,141,97,76,57,101,252,252,4520,89158,458
7,1293,792,442,212,137,326,165403,148771,147864,83134
6,448320,40885,3514,1438,6360,25125,860,56670,700,1000000
5,39395,104970,7320,2199,992,334,915,5526,28177,9462
4,4643,2672,4422,178735,39155,906,1594,1403,40522,489
3,4304,22173,1000000,10123,5154,10352,2912,751,2971,382
2,22056,540615,38663,15612,3070,11949,1096,385,715,270
A,982,2950,154082,11171,5421,144,288,1431,2956,2562
