Hand,2,3,4,5,6,7,8,9,10,A
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,DS,S,S,S,S,S
18,S,DS,DS,DS,DS,S,S,H,H,S
17,DH,DH,DH,DH,DH,H,H,H,H,H
16,H,H,DH,DH,DH,H,H,H,H,H
15,H,H,DH,DH,DH,H,H,H,H,H
14,H,H,DH,DH,DH,H,H,H,H,H
13,H,H,DH,H,DH,H,H,H,H,H
